computers_accessories price,computers_accessories,telephony  price,telephony,electronics price,electronics,computers price,computers
29,16,"24,99",311,"23,9",2,899,3
"39,9",146,66,1,"16,9",15,770,2
"49,99",21,"26,99",23,"18,32",2,599,34
"14,99",37,"129,9",5,"179,93",5,"619,99",8
"83,99",5,"109,9",4,"172,01",1,730,13
130,12,"97,9",12,"69,4",2,"2199,99",1
"15,87",1,"21,99",142,"79,99",4,4590,1
"15,9",9,"1502,93",1,174,1,530,1
"177,9",7,"9,99",5,79,27,"2999,99",2
"24,9",19,298,3,59,2,"3399,99",1
"31,58",1,245,7,75,4,580,1
"299,9",9,299,8,77,4,640,2
"199,9",21,"34,99",41,40,4,1437,16
"23,7",1,"19,89",1,"19,9",194,1200,23
"175,4",1,"67,9",5,18,18,1300,11
"24,89",8,"49,99",74,"12,6",2,"1599,99",10
269,28,"314,9",5,"133,4",1,3549,1
"45,99",2,"379,9",1,"19,89",18,"34,5",1
"65,78",1,"27,99",268,"2470,5",2,6729,1
189,21,"37,99",62,"2433,6",1,659,3
89,45,"44,99",26,"22,9",3,650,8
"59,9",47,"29,99",534,206,3,1100,6
"120,1",1,"22,99",39,"24,89",17,790,7
"199,1",2,"19,9",106,"28,9",13,670,1
"139,1",1,25,31,"23,7",54,1340,11
120,23,"16,97",9,"19,99",4,"1199,9",1
"89,99",27,15,10,"17,49",3,850,7
"112,99",13,"31,9",3,229,3,"1299,9",8
17,1,"39,99",146,9,42,"849,99",7
"168,9",3,"19,99",68,22,20,"1349,99",3
"612,91",1,"69,86",1,"13,65",218,"1649,99",2
"78,9",23,"13,87",4,42,8,"1549,99",3
18,11,"13,88",1,51,1,"1399,9",1
"92,65",2,"12,97",36,"14,49",1,560,2
149,118,"16,99",19,"228,9",1,1390,1
159,15,59,17,"79,9",8,,
179,8,69,5,32,2,,
169,4,"79,9",11,96,3,,
"69,99",26,"20,49",1,"96,58",1,,
"161,55",4,"16,9",15,153,1,,
"24,99",58,"27,9",6,"18,9",224,,
"22,99",16,"109,89",2,"13,95",1,,
"319,12",1,"12,77",2,"90,99",3,,
"119,99",35,"14,9",33,"94,99",1,,
127,1,"25,99",66,"89,99",2,,
"1360,02",1,"24,9",29,"107,99",1,,
"29,9",80,"109,99",3,"14,9",29,,
"44,99",36,"15,99",21,45,4,,
105,61,"17,99",61,"9,5",9,,
349,15,"45,9",7,"34,99",1,,
"3699,99",1,"755,99",2,"34,9",8,,
"59,99",19,"15,9",22,"84,9",3,,
"129,9",40,"17,89",10,"64,5",6,,
"249,99",10,"12,5",28,179,8,,
139,34,"49,9",17,"199,99",3,,
144,4,"55,91",2,243,3,,
"173,9",4,"54,91",3,266,1,,
